Candidate_ID,Candidate_Name,Party_Name
1,V.K. ABDUL AZIZ,Independent
2,USHA KUMARI,Independent
3,RINKU MALA MONDAL,Independent
4,KULDEEP RAI SHARMA,Indian National Congress
5,ANAND RAMNATH ARLEKAR,Independent
6,K VENKAT RAM BABU,Independent
7,SALAMAT MONDAL,Socialist Unity Centre Of India (COMMUNIST)
8,K J B SELVARAJ,All India Anna Dravida Munnetra Kazhagam
9,MANOJ PAUL,Andaman Nicobar Democratic Congress
10,D AYYAPPAN,Communist Party of India  (Marxist)
11,DR ARUN KUMAR MALLIK,Bahujan Samaj Party
12,BISHNU PADA RAY,Bharatiya Janata Party
13,KOTHAPALLI GEETHA,Bharatiya Janata Party
14,SAMAREDDY BALAKRISHNA,Independent
15,ATHIDHI,Independent
16,MANDALA GIRIDHARA RAO,Independent
17,MOTTADAM . RAJABABU,Bharat Adivasi Party
18,VUYAKA NIREEKSHAN  (V. CHENCHU),India Praja Bandhu Party
19,NIMMAKA JAYARAJU,Independent
20,APPALANARASA PACHIPENTA,Communist Party of India  (Marxist)
21,GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party
22,CHANTI BADNAINA,Jai Bharat National Party
23,RAMBABU JALLI,Telugu Rajadhikara Samiti Party
24,AVASHYA LAHARI . VARAM,Bahujan Samaj Party
25,RANJITH KUMAR PALAKA,Independent
26,PEDADA PARAMESWARA RAO,Indian National Congress
27,SANAPALA SRAVAN KUMAR,Independent
28,BORUBADRA CHANDRAKALA,Bharatha Chaitanya Yuvajana Party
29,KINJARAPU RAMMOHAN NAIDU,Telugu Desam
30,BETHA VIVEKANANDA MAHARAJ,Independent
31,KAYA DURGARAO,Navarang Congress Party
32,VABA YOGESWARA RAO,Independent
33,BOMMALI TIRUPATI RAO,Pyramid Party of India
34,TILAK PERADA,Yuvajana Sramika Rythu Congress Party
35,CHELLURI DANIYAL,Independent
36,IPPILI SEETHARAJU,Jai Bharat National Party
37,YEDDU LAKSHMINARAYANA,Independent
38,NAIDUGARI RAJASEKHAR,Bahujan Samaj Party
39,ADINARAYANA TADDI,Independent
40,ALLU SRIRAMULU,Independent
41,APPALANAIDU KALISETTI,Telugu Desam
42,MARISERLA KRISHNAMURTHY NAIDU,Independent
43,BELLANA CHANDRASEKHAR,Yuvajana Sramika Rythu Congress Party
44,VANGAPANDU MAHESWARA RAO,Naba Bharata Nirmana Seva Party
45,BOBBILI SRINU,Indian National Congress
46,CHINNAM ARUNA KUMAR,Jaibhim Rao Bharat Party
47,VELURI VENKATA TRINADHARAO,Independent
48,SAKHINETI ANANTHA RAJU,Pyramid Party of India
49,P V A ANANDA SAGAR,Independent
50,PEERUBANDI PRAKASH RAO,Bahujan Samaj Party
51,ATCHIYYA NAIDU SAMIREDDY,Samajwadi Party
52,SIYYADULA YELLA RAO,Independent
53,SRINIVASA RAO SAMBHANA,Yuga Thulasi Party
54,ANDUKURI VIJAYA BHASKAR,India Praja Bandhu Party
55,PIDIDHI APPARAO,Independent
56,ARUNA SRI MURALA,Independent
57,JANARDHAN PONNADA.,Independent
58,SRIBHARAT MATHUKUMILI,Telugu Desam
59,BIKKAVOLU. CHALAMAJI,Navarang Congress Party
60,GANAPATHI. JAGADEESWARA RAO (JAGADEESH),Independent
61,DR. ACHUTHA BALAJI YADAV (MURAPALA),Bharatha Chaitanya Yuvajana Party
62,VASUPILLI SURESH,Independent
63,LAGUDU. GOVINDA RAO,Independent
64,KOLLI NAGA RAJU,Independent
65,SHANKAR DEVARA YADAV,Independent
66,GANAPATHI. JAGADEESWARA RAO (JAGADEESH),Jai Maha Bharath Party
67,JHANSI LAKSHMI. BOTCHA.,Yuvajana Sramika Rythu Congress Party
68,V.N. SATYA NARAYANA,Rashtriya Praja Congress  (Secular)
69,G.A.N. ANAND,Independent
70,JALADI VIJAYA KUMARI,Samajwadi Party
71,VENU MADHAV KARRI,Independent
72,P. SATYA VANI,Pyramid Party of India
73,DR. GANAPATHI KONGARAPU.,Republican Party of India (A)
74,METTA RAMA RAO,Independent
75,PEDAPENKI SIVA PRASADA RAO,Bahujan Samaj Party
76,DURGA PRASAD. GUNTU,Bhartiya Rashtriya Dal
77,K.A. PAUL,Praja Shanthi Party
78,MALLA SRAVANI,Independent
79,P. SATYA REDDY,Indian National Congress
80,GANDIKOTA RAJESH,Navataram Party
81,VADDI. HARI GANESH,Independent
82,THOTA VENKATA SAI MUKUND,Praja Prasthanam Party
83,CHINTADA SURYAM,Naba Bharata Nirmana Seva Party
84,CHAPPIDI RAMU,Independent
85,M.G.M. KHAN,Independent
86,BANNA. RAMESH,Dalita Bahujana Party
87,SONDI KRISHNA.,Independent
88,JUNNURI J SRINIVAS,Independent
89,NAGESWARA RAO PETLA,Independent
90,C.M.RAMESH,Bharatiya Janata Party
91,APPALA RAJU NAMMI,Bharatha Chaitanya Yuvajana Party
92,PALAKA SREERAMA MURTHY,Bahujan Samaj Party
93,BUDI MUTYALA NAIDU,Yuvajana Sramika Rythu Congress Party
94,KRISHNA SWAROOP VADLAMURI,Dalita Bahujana Party
95,APPALANAIDU TUMMAGUNTA,Independent
96,DR. THUMMAPALA HARI  SHANKAR,Independent
97,VEGI VENKATESH,Indian National Congress
98,GARA SURYA RAO,Independent
99,VIJAYA LAKSHMI KARRI,Pyramid Party of India
100,VANKAYALA RAMACHANDRA RAO,Independent
101,LOVARAJU SIDDHA,Independent
102,ADARI SARAT CHANDRA,Jai Bharat National Party
103,YENUGUPALLI KRISHNA,Jaibhim Rao Bharat Party
104,TANGELLA UDAY SRINIVAS  (TEA TIME UDAY),Janasena Party
105,SUDHA VEERA GANESH,Independent
106,DR ANUSHA YADAV,Bharatha Chaitanya Yuvajana Party
107,KANDREGULA NARASIMHAM,Bahujan Samaj Party
108,NEELAKANTAM DONAM,Independent
109,CHALAMALASETTY SUNIL,Yuvajana Sramika Rythu Congress Party
