Constituency_Name,Winner_Name,Winner_Party,RunnerUp_Name,RunnerUp_Party,Winning_Margin
AJMER,BHAGIRATH CHOUDHARY,Bharatiya Janata Party,RAMCHANDRA CHOUDHARY,Indian National Congress,329991
ALWAR,BHUPENDER YADAV,Bharatiya Janata Party,LALIT YADAV,Indian National Congress,48282
AMBALA,VARUN CHAUDHRY,Indian National Congress,BANTO KATARIA,Bharatiya Janata Party,49036
ANANTNAG-RAJOURI,MIAN ALTAF AHMAD,Jammu & Kashmir National Conference,MEHBOOBA MUFTI,Jammu & Kashmir Peoples Democratic Party,281794
ARAKKONAM,S JAGATHRATCHAKAN,Dravida Munnetra Kazhagam,L VIJAYAN,All India Anna Dravida Munnetra Kazhagam,306559
ARANI,THARANIVENTHAN M S,Dravida Munnetra Kazhagam,"GAJENDRAN, G.V.",All India Anna Dravida Munnetra Kazhagam,208766
Adilabad,GODAM NAGESH,Bharatiya Janata Party,ATHRAM SUGUNA,Indian National Congress,90652
Agra,PROF S P SINGH BAGHEL,Bharatiya Janata Party,SURESH CHAND KARDAM,Samajwadi Party,271294
Ahmedabad East,HASMUKHBHAI PATEL (H.S.PATEL),Bharatiya Janata Party,HIMMATSINH PRAHLADSINH PATEL,Indian National Congress,461755
Ahmedabad West,DINESHBHAI MAKWANA (ADVOCATE),Bharatiya Janata Party,BHARAT YOGENDRA MAKWANA,Indian National Congress,286437
Ahmednagar,NILESH DNYANDEV LANKE,Nationalist Congress Party – Sharadchandra Pawar,DR. SUJAY RADHAKRISHNA VIKHEPATIL,Bharatiya Janata Party,28929
Akbarpur,DEVENDRA SINGH ALIAS BHOLE SINGH,Bharatiya Janata Party,RAJARAM PAL,Samajwadi Party,44345
Akola,ANUP SANJAY DHOTRE,Bharatiya Janata Party,ABHAY KASHINATH PATIL,Indian National Congress,40626
Alappuzha,K. C VENUGOPAL,Indian National Congress,A. M ARIFF,Communist Party of India (Marxist),63513
Alathur,K.RADHAKRISHNAN,Communist Party of India (Marxist),RAMYA HARIDAS,Indian National Congress,20111
Aligarh,SATISH KUMAR GAUTAM,Bharatiya Janata Party,BIJENDRA SINGH,Samajwadi Party,15647
Alipurduars,MANOJ TIGGA,Bharatiya Janata Party,PRAKASH CHIK BARAIK,All India Trinamool Congress,75447
Allahabad,UJJWAL RAMAN SINGH,Indian National Congress,NEERAJ TRIPATHI,Bharatiya Janata Party,58795
Almora,AJAY TAMTA,Bharatiya Janata Party,PRADEEP TAMTA,Indian National Congress,234097
Amalapuram (SC),G M HARISH (BALAYOGI),Telugu Desam,RAPAKA VARAPRASADA RAO,Yuvajana Sramika Rythu Congress Party,342196
Ambedkar Nagar,LALJI VERMA,Samajwadi Party,RITESH PANDEY,Bharatiya Janata Party,137247
Amethi,KISHORI LAL,Indian National Congress,SMRITI IRANI,Bharatiya Janata Party,167196
Amravati,BALWANT BASWANT WANKHADE,Indian National Congress,NAVNEET RAVI RANA,Bharatiya Janata Party,19731
Amreli,BHARATBHAI MANUBHAI SUTARIYA,Bharatiya Janata Party,JENNY THUMMAR,Indian National Congress,321068
Amritsar,GURJEET SINGH AUJLA,Indian National Congress,KULDEEP SINGH DHALIWAL,Aam Aadmi Party,40301
Amroha,KANWAR SINGH TANWAR,Bharatiya Janata Party,KUNWAR DANISH ALI,Indian National Congress,28670
Anakapalle,C.M.RAMESH,Bharatiya Janata Party,BUDI MUTYALA NAIDU,Yuvajana Sramika Rythu Congress Party,296530
Anand,MITESH PATEL (BAKABHAI),Bharatiya Janata Party,AMIT CHAVDA,Indian National Congress,89939
Anandpur Sahib,MALVINDER SINGH KANG,Aam Aadmi Party,VIJAY INDER SINGLA,Indian National Congress,10846
Ananthapur,AMBICA G LAKSHMINARAYANA VALMIKI,Telugu Desam,MALAGUNDLA SANKAR NARAYANA,Yuvajana Sramika Rythu Congress Party,188555
