Constituency_ID,Constituency_Name,State,Registered_Voters,Votes_Polled,Turnout_Percentage
1,Araku (ST),Andhra Pradesh,1557153,1165787,74.87
2,Srikakulam,Andhra Pradesh,1646686,1241169,75.37
3,Vizianagaram,Andhra Pradesh,1590994,1307632,82.19
4,Visakhapatnam,Andhra Pradesh,1931398,1391130,72.03
5,Anakapalle,Andhra Pradesh,1601365,1328726,82.97
6,Kakinada,Andhra Pradesh,1634921,1331386,81.43
7,Amalapuram (SC),Andhra Pradesh,1532229,1301934,84.97
8,Rajahmundry,Andhra Pradesh,1623852,1329162,81.85
9,Narsapuram,Andhra Pradesh,1473811,1232553,83.63
10,Eluru,Andhra Pradesh,1638116,1387990,84.73
11,Machilipatnam,Andhra Pradesh,1540045,1315489,85.42
12,Vijayawada,Andhra Pradesh,1704469,1371102,80.44
13,Guntur,Andhra Pradesh,1793324,1437528,80.16
14,Narsaraopet,Andhra Pradesh,1736162,1504877,86.68
15,Bapatla (SC),Andhra Pradesh,1511177,1308243,86.57
16,Ongole,Andhra Pradesh,1614525,1425958,88.32
17,Nandyal,Andhra Pradesh,1724191,1410776,81.82
18,Kurnoolu,Andhra Pradesh,1724191,1339542,77.69
19,Ananthapur,Andhra Pradesh,1769264,1445498,81.7
20,Hindupur,Andhra Pradesh,1658529,1424863,85.91
21,Kadapa,Andhra Pradesh,1641349,1327619,80.89
22,Nellore,Andhra Pradesh,1712840,1378697,80.49
23,Thirupathi (SC),Andhra Pradesh,1730318,1387466,80.19
24,Rajampet,Andhra Pradesh,1667385,1337920,80.24
25,Chittoor (SC),Andhra Pradesh,1643593,1425910,86.76
1,Arunachal West,Arunachal Pradesh,520085,402330,77.36
2,Arunachal East,Arunachal Pradesh,378357,326063,86.18
1,Kokrajhar (ST),Assam,1494404,1254499,83.95
2,Dhubri,Assam,2663987,2458780,92.3
3,Barpeta,Assam,1979051,1690051,85.4
4,Darrang-Udalguri,Assam,2214516,1820644,82.21
5,Guwahati,Assam,2039765,1602455,78.56
6,Diphu (ST),Assam,902050,687376,76.2
7,Karimganj,Assam,1414520,1147607,81.13
8,Silchar (SC),Assam,1374559,1090948,79.37
9,Nagaon,Assam,1821023,1550628,85.15
10,Kaziranga,Assam,2053805,1635636,79.64
11,Sonitpur,Assam,1638992,1290556,78.74
12,Lakhimpur,Assam,1580500,1214239,76.83
13,Dibrugarh,Assam,1661998,1278464,76.92
14,Jorhat,Assam,1732944,1396283,80.57
1,Valmiki Nagar,Bihar,1829052,1103474,60.33
2,Paschim Champaran,Bihar,1759234,1086798,61.78
3,Purvi Champaran,Bihar,1793440,1074344,59.9
4,Sheohar,Bihar,1834437,1055989,57.56
5,Sitamarhi,Bihar,1950028,1096960,56.25
6,Madhubani,Bihar,1936759,1028128,53.08
7,Jhanjharpur,Bihar,2005278,1094117,54.56
8,Supaul,Bihar,1928887,1231554,63.85
9,Araria,Bihar,2019757,1252751,62.02
10,Kishanganj,Bihar,1830197,1151296,62.91
11,Katihar,Bihar,1834512,1172533,63.92
12,Purnia,Bihar,1895036,1196238,63.12
13,Madhepura,Bihar,2073608,1209822,58.34
14,Darbhanga,Bihar,1782853,1024986,57.49
15,Muzaffarpur,Bihar,1869072,1112933,59.54
16,Vaishali,Bihar,1871877,1172436,62.63
17,Gopalganj (SC),Bihar,2027054,1064581,52.52
18,Siwan,Bihar,1901956,998204,52.48
19,Maharajganj,Bihar,1942449,1015313,52.27
20,Saran,Bihar,1800790,1022613,56.79
21,Hajipur (SC),Bihar,1972915,1155605,58.57
22,Ujiarpur,Bihar,1748377,1042749,59.64
23,Samastipur (SC),Bihar,1820016,1095866,60.21
24,Begusarai,Bihar,2200435,1296227,58.91
25,Khagaria,Bihar,1843767,1062299,57.62
26,Bhagalpur,Bihar,1988207,1065031,53.57
27,Banka,Bihar,1859967,1014931,54.57
28,Munger,Bihar,2051829,1139184,55.52
29,Nalanda,Bihar,2293994,1144956,49.91
30,Patna Sahib,Bihar,2295527,1075992,46.87
31,Patliputra,Bihar,2080613,1230694,59.15
32,Arrah,Bihar,2183625,1097080,50.24
33,Buxar,Bihar,1934352,1074086,55.53
34,Sasaram (SC),Bihar,1914914,1097925,57.34
35,Karakat,Bihar,1888005,1033379,54.73
36,Jahanabad,Bihar,1678716,927696,55.26
37,Aurangabad,Bihar,1875809,946044,50.43
38,Gaya (SC),Bihar,1821330,964870,52.98
39,Nawada,Bihar,2010286,871838,43.37
40,Jamui (SC),Bihar,1910619,979337,51.26
1,North Goa,Goa,580710,457222,78.73
2,South Goa,Goa,598934,450956,75.29
1,Kachchh (SC),Gujarat,1943633,1096006,56.39
2,Banaskantha,Gujarat,1963312,1378128,70.19
3,Patan,Gujarat,2021772,1195554,59.13
4,Mahesana,Gujarat,1772048,1079261,60.9
5,Sabarkantha,Gujarat,1980797,1271490,64.19
6,Gandhinagar,Gujarat,2183402,1323545,60.62
7,Ahmedabad East,Gujarat,2040263,1130756,55.42
8,Ahmedabad West (SC),Gujarat,1727645,967803,56.02
9,Surendranagar,Gujarat,2035001,1133390,55.69
10,Rajkot,Gujarat,2112726,1274866,60.34
11,Porbandar,Gujarat,1769594,930356,52.57
12,Jamnagar,Gujarat,1818959,1052099,57.84
13,Junagadh,Gujarat,1796532,1069622,59.54
14,Amreli,Gujarat,1733367,877094,50.6
15,Bhavnagar,Gujarat,1918394,1051181,54.79
16,Anand,Gujarat,1780709,1170984,65.76
17,Kheda,Gujarat,2008281,1179041,58.71
18,Panchmahal,Gujarat,1898234,1132935,59.68
19,Dahod (ST),Gujarat,1876247,1119204,59.65
20,Vadodara,Gujarat,1950123,1213696,62.24
21,Chhota Udaipur (ST),Gujarat,1822437,1269390,69.65
22,Bharuch,Gujarat,1723670,1199601,69.6
23,Bardoli (ST),Gujarat,2048788,1343633,65.58
25,Navsari,Gujarat,2223804,1339344,60.23
26,Valsad (ST),Gujarat,1860207,1363008,73.27
1,AMBALA (SC),Haryana,2003510,1348094,67.29
2,KURUKSHETRA,Haryana,1799822,1206961,67.06
3,SIRSA (SC),Haryana,1941319,1356358,69.87
4,HISAR,Haryana,1799539,1175066,65.3
5,KARNAL,Haryana,2109702,1346656,63.83
6,SONIPAT,Haryana,1777008,1127054,63.42
7,ROHTAK,Haryana,1913628,1254043,65.53
8,BHIWANI-MAHENDRAGARH,Haryana,1821764,1184437,65.02
9,GURGAON,Haryana,2584982,1603233,62.02
10,FARIDABAD,Haryana,2436637,1473728,60.48
1,KANGRA,Himachal Pradesh,1524032,1038678,68.15
2,MANDI,Himachal Pradesh,1377173,1018685,73.97
3,HAMIRPUR,Himachal Pradesh,1456099,1052398,72.28
4,SHIMLA (SC),Himachal Pradesh,1354665,971315,71.7
1,Chikkodi,Karnataka,1770523,1395325,78.81
2,Belgaum,Karnataka,1931746,1386821,71.79
3,Bagalkot,Karnataka,1810090,1319713,72.91
4,Bijapur (SC),Karnataka,1947976,1297073,66.59
5,Gulbarga (SC),Karnataka,2098778,1311233,62.48
6,Raichur (ST),Karnataka,2010441,1304825,64.9
7,Bidar,Karnataka,1894364,1243057,65.62
8,Koppal,Karnataka,1867016,1329839,71.23
9,Bellary (ST),Karnataka,1884472,1389995,73.76
10,Haveri,Karnataka,1794394,1397131,77.86
11,Dharwad,Karnataka,1834015,1366570,74.51
12,Uttara Kannada,Karnataka,1645721,1263871,76.8
13,Davanagere,Karnataka,1709809,1321228,77.27
14,Shimoga,Karnataka,1753615,1378579,78.61
15,Udupi Chikmagalur,Karnataka,1585721,1231062,77.63
16,Hassan,Karnataka,1738818,1357375,78.06
17,Dakshina Kannada,Karnataka,1818127,1418468,78.02
18,Chitradurga (SC),Karnataka,1857385,1367995,73.65
19,Tumkur,Karnataka,1661834,1304308,78.49
20,Mandya,Karnataka,1780149,1460563,82.05
21,Mysore,Karnataka,2094310,1486191,70.96
22,Chamarajanagar (SC),Karnataka,1778667,1370336,77.04
23,Bangalore Rural,Karnataka,2802956,1920679,68.52
24,Bangalore North,Karnataka,3215291,1756885,54.64
25,Bangalore central,Karnataka,2434254,1318346,54.16
26,Bangalore South,Karnataka,2341895,1250052,53.38
27,Chikkballapur,Karnataka,1981767,1531043,77.26
28,Kolar (SC),Karnataka,1728198,1356814,78.51
1,Kasaragod,Kerala,1455530,1117221,76.76
2,Kannur,Kerala,1363080,1066171,78.22
3,Vadakara,Kerala,1424792,1129256,79.26
4,Wayanad,Kerala,1464472,1086459,74.19
5,Kozhikode,Kerala,1432508,1092977,76.3
6,Malappuram,Kerala,1480714,1087395,73.44
7,Ponnani,Kerala,1471260,1026616,69.78
8,Palakkad,Kerala,1400914,1038946,74.16
9,Alathur (SC),Kerala,1340183,993759,74.15
10,Thrissur,Kerala,1483783,1092574,73.63
11,Chalakudy,Kerala,1311257,953520,72.72
12,Ernakulam,Kerala,1324757,911035,68.77
13,Idukki,Kerala,1251172,841286,67.24
14,Kottayam,Kerala,1256138,837890,66.7
15,Alappuzha,Kerala,1406689,1068949,75.99
16,Mavelikkara (SC),Kerala,1339159,898111,67.07
17,Pathanamthitta,Kerala,1433956,921565,64.27
18,Kollam,Kerala,1330873,918260,69.0
19,Attingal,Kerala,1401114,986917,70.44
20,Thiruvananthapuram,Kerala,1434657,964351,67.22
1,MORENA,Madhya Pradesh,2015928,1189626,59.01
2,BHIND (SC),Madhya Pradesh,1913389,1050881,54.92
3,GWALIOR,Madhya Pradesh,2160206,1345727,62.3
4,GUNA,Madhya Pradesh,1890695,1374205,72.68
5,SAGAR,Madhya Pradesh,1746640,1151015,65.9
6,TIKAMGARH (SC),Madhya Pradesh,1827976,1098801,60.11
7,DAMOH,Madhya Pradesh,1926000,1089696,56.58
8,KHAJURAHO,Madhya Pradesh,1998536,1141404,57.11
9,SATNA,Madhya Pradesh,1708823,1059670,62.01
10,REWA,Madhya Pradesh,1859439,920062,49.48
11,SIDHI,Madhya Pradesh,2030095,1148762,56.59
12,SHAHDOL (ST),Madhya Pradesh,1778158,1152862,64.83
13,JABALPUR,Madhya Pradesh,1898180,1159005,61.06
14,MANDLA (ST),Madhya Pradesh,2103244,1536106,73.04
15,BALAGHAT,Madhya Pradesh,1875760,1382786,73.72
16,CHHINDWARA,Madhya Pradesh,1634721,1306561,79.93
17,HOSHANGABAD,Madhya Pradesh,1858158,1249972,67.27
18,VIDISHA,Madhya Pradesh,1946631,1456313,74.81
19,BHOPAL,Madhya Pradesh,2339411,1499928,64.12
20,RAJGARH,Madhya Pradesh,1876672,1431588,76.28
21,DEWAS (SC),Madhya Pradesh,1943559,1469943,75.63
22,UJJAIN (SC),Madhya Pradesh,1800347,1329211,73.83
23,MANDSOUR,Madhya Pradesh,1900808,1434874,75.49
24,RATLAM (ST),Madhya Pradesh,2095109,1534198,73.23
25,DHAR (ST),Madhya Pradesh,1955117,1425647,72.92
26,INDORE,Madhya Pradesh,2527978,1562727,61.82
27,KHARGONE (ST),Madhya Pradesh,2046409,1559003,76.18
28,KHANDWA,Madhya Pradesh,2112874,1514990,71.7
29,BETUL (ST),Madhya Pradesh,1897989,1396805,73.59
1,Nandurbar (ST),Maharashtra,1971324,1394993,70.76
2,Dhule,Maharashtra,2025275,1221941,60.33
3,Jalgaon,Maharashtra,2000402,1170653,58.52
4,Raver,Maharashtra,1823827,1173733,64.36
5,Buldhana,Maharashtra,1787095,1110224,62.12
6,Akola,Maharashtra,1894657,1173782,61.95
7,Amravati (SC),Maharashtra,1838767,1174779,63.89
8,Wardha,Maharashtra,1684292,1096649,65.11
9,Ramtek (SC),Maharashtra,2050952,1252883,61.09
10,Nagpur,Maharashtra,2224282,1212085,54.49
11,Bhandara Gondiya,Maharashtra,1830399,1237812,67.63
12,Gadchiroli - Chimur (ST),Maharashtra,1618690,1167912,72.15
13,Chandrapur,Maharashtra,1839760,1245125,67.68
14,Yavatmal- Washim,Maharashtra,1942461,1225601,63.1
15,Hingoli,Maharashtra,1819082,1159744,63.75
16,Nanded,Maharashtra,1853532,1133958,61.18
17,Parbhani,Maharashtra,2124497,1331334,62.67
18,Jalna,Maharashtra,1969953,1367572,69.42
19,Aurangabad,Maharashtra,2061220,1302783,63.2
20,Dindori (ST),Maharashtra,1857924,1241985,66.85
21,Nashik,Maharashtra,2033175,1237613,60.87
22,Palghar (ST),Maharashtra,2148850,1376677,64.07
23,Bhiwandi,Maharashtra,2087604,1254778,60.11
24,Kalyan,Maharashtra,2082800,1047247,50.28
25,Thane,Maharashtra,2508072,1311056,52.27
26,Mumbai North,Maharashtra,1812115,1036495,57.2
27,Mumbai North West,Maharashtra,1735295,955050,55.04
28,Mumbai North East,Maharashtra,1637292,927267,56.63
